kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,(P7-4) has in any event been complied with as it applies only where the.,0,1395,2,4,58,130,15,0.3652790785
none,"(b) the lawful arrest or detention of a person for non-
  compliance with the lawful order of a court or in order to secure.",0,142,8,10,364,488,24,0.4262473881
none,"(cf.,
 e.g., Eur.",0,1345,0,5,0,17,4,0.2975003123
none,"(cf., e.g., Eur.",0,1326,0,4,0,16,4,0.2975003123
none,"(cf., e.g., Eur.",0,1350,0,5,0,16,4,0.2975003123
none,(including the S.A.S soldiers and Security Service personnel involved.,0,1211,1,8,59,129,11,0.3697718382
none,"(see Olivier de Schutter's commentary on that judgment in Revue trimestrielle des droits de l'homme, Brussels, 1997, pp.",0,676,0,2,0,120,18,0.4415434599
none,"(see the Artico v. Italy judgment of 13 May 1980, Series A no.",0,361,0,4,0,62,13,0.4725227654
none,"(see the Bryan v. the United Kingdom judgment of 22 November 1995, Series A no.",0,216,0,3,0,79,15,0.4426824749
none,"(see the Buckley v. the United Kingdom judgment of 25 September 1996, Reports of Judgments and Decisions 1996-IV, pp.",0,649,0,3,0,117,20,0.4117362201
none,"(see the Cardot v. France judgment of 19 March 1991, Series A no.",0,1922,0,3,0,65,13,0.5280185938
none,"(see the De Cubber v. Belgium judgment of 26 October 1984, Series A no.",0,209,0,4,0,71,14,0.4405983388
none,"(see the De Wilde, Ooms and Versyp v. Belgium judgment of 18 June 1971, Series A no.",0,1916,0,3,0,84,17,0.3901747167
none,"(see the De Wilde, Ooms and Versyp v. Belgium judgment of 18 June 1971, Series A no.",0,1919,0,3,0,84,17,0.3901747167
none,"(see the Engel and Others v. the Netherlands judgment of 18 June 1976, Series A no.",0,191,0,7,0,83,16,0.4314833879
none,"(see the Guzzardi v. Italy judgment of 6 November 1980, Series A no.",0,1950,0,3,0,68,13,0.4545704722
none,"(see the Handyside v. the United Kingdom judgment of 7 December 1976, Series A no.",0,403,0,4,0,82,15,0.3920869231
none,"(see the Oberschlick v. Austria judgment of 23 May 1991, Series A no.",0,704,0,3,0,69,13,0.5279844999
none,"(see the Oberschlick v. Austria judgment of 23 May 1991, Series A no.",0,420,0,3,0,69,13,0.5279844999
none,"(see the Van Oosterwijck v. Belgium judgment of 6 November 1980, Series A no.",0,1928,0,3,0,77,14,0.383620739
none,"(see, as a recent authority, the Tolstoy Miloslavsky v. the United Kingdom judgment of 13 July 1995, Series A no.",0,339,0,4,0,113,20,0.4056310952
none,"(see, for example, the Schmautzer v. Austria judgment of 23 October 1995, Series A no.",0,213,0,3,0,86,15,0.3892601728
none,"(see, for instance, the Bozano v. France judgment of 18 December 1986, Series A no.",0,900,0,5,0,83,15,0.3979819715
none,"(see, for instance, the Bozano v. France judgment of 18 December 1986, Series A no.",0,915,0,5,0,83,15,0.3979819715
none,"(see, for instance, the Ciulla v. Italy judgment of 22 February 1989, Series A no.",0,897,0,3,0,82,15,0.3993700445
none,"(see, for instance, the Kemmache v. France (no.",0,335,0,5,0,47,8,0.3157454133
none,"(see, for instance, the Murray v. the United Kingdom judgment of 28 October 1994, Series A no.",0,911,0,3,0,94,17,0.3709532619
none,"(see, inter alia, the Fox, Campbell and Hartley v. the United Kingdom judgment of 30 August 1990, Series A no.",0,1583,0,5,0,110,20,0.3646711111
none,"(see, inter alia, the James and Others v. the United Kingdom judgment of 21 February 1986, Series A no.",0,457,0,6,0,103,19,0.3591585159
none,"(see, inter alia, the James and Others v. the United Kingdom judgment of 21 February 1986, Series A no.",0,465,0,6,0,103,19,0.3591585159
none,"(see, inter alia, the Powell and Rayner v. the United Kingdom judgment of 21 February 1990, Series A no.",0,917,0,3,0,104,19,0.3759101629
none,"(see, most recently, the Keegan v. Ireland judgment of 26 May 1994, Series A no.",0,551,0,5,0,80,15,0.5680001378
none,"), I examined the genesis of this doctrine.",0,446,6,11,394,437,7,0.3255134225
none,1 (P1-1) has been disclosed in the present case.,0,1131,1,2,105,153,10,0.4592327774
none,1 (a) and (b) (Art.,0,135,1,3,72,91,5,0.2912037075
none,1 and 2 (Art.,0,1104,1,3,102,115,4,0.2891637385
none,1 and 3 (d) (art.,0,1011,1,4,103,120,5,0.2865405381
none,1 and 3 (d) (art.,0,1057,1,4,103,120,5,0.2865405381
none,1 of the Convention (art.,0,883,1,3,149,174,5,0.2807562649
none,1 of the Convention (art.,0,898,1,3,16,41,5,0.2807562649
none,1 of the Convention (art.,0,913,1,4,73,98,5,0.2807562649
none,1 of the Convention (art.,0,188,1,3,127,152,5,0.2807562649
none,1 of the Federal Constitution to formal decisions of.,0,1249,3,6,159,212,9,0.3006399274
none,"10) of the Convention provides:
 

  ""1.",0,1177,1,7,17,56,6,0.301302582
none,10) of the Convention.,0,36,1,2,143,165,4,0.3728481531
none,10) was so closely and directly bound up with the deceased applicant's person that his heirs could not assert any specific legal interest which would enable them to continue the proceedings in his stead.,0,1908,1,2,132,335,34,0.4637828469
none,"10-2) apply in the instant case, the applicant was of the opinion that it had not been satisfied.",0,346,2,3,73,170,19,0.345375061
none,"10-2) expressly recognises, however, the exercise of that freedom carries with it duties and responsibilities.",0,1840,1,2,35,145,16,0.3501719832
none,"10078/82, Dec.
 13.12.84, D.R.",0,1244,9,13,343,373,8,0.3431998193
none,"10148/82, Dec. 14.3.85, D.R.",0,1336,3,5,124,152,8,0.3424278498
none,"10148/82, Decisions and Reports 42, p. 98).",0,285,1,3,210,253,8,0.53019315
none,"10530/83, Dec. 16.5.85, D.R.",0,110,2,4,13,41,8,0.3437089324
none,"10530/83, Dec. 16.5.85, D.R.",0,147,2,4,79,107,8,0.3437089324
none,"110, p. 14, para.",0,1255,4,6,88,105,4,0.319982022
none,"111, p. 23, para.",0,900,1,5,84,101,4,0.3037545383
none,"111, p. 23, para.",0,915,1,5,84,101,4,0.3037545383
none,"111, p. 25, para.",0,1432,7,9,466,483,4,0.3075090945
none,"11123/84, Dec. 9.12.87, D.R.",0,1298,4,6,173,201,8,0.34595716
none,"11208/84, Dec. 4.3.86, D.R.",0,1244,7,13,300,327,8,0.3565352857
none,"12, p. 29, para.",0,1916,1,3,85,101,4,0.3073856831
none,"12, p. 29, para.",0,1919,1,3,85,101,4,0.3073856831
none,"12, p. 40, para.",0,7,3,5,276,292,4,0.3180710971
