id,argument
1,The Commission notes that the applicant was detained after having been sentenced by the first instance court to 18 months' imprisonment.
2,"He was released after the Court of Appeal reviewed this sentence, reducing it to 15 months' imprisonment, convertible to a fine."
3," Article 5 para. 1 (Art. 5-1) of the Convention guarantees the right to liberty and security of person, subject to certain exceptions, such as the lawful detention of a person after conviction by a competent court, within the meaning of sub-paragraph (a) of the provision."
4,"The Commission finds that the applicant was deprived of his liberty ""after conviction by a competent court"" within the meaning of Article 5 para. 1 (a) (Art. 5-1-a) of the Convention."
5,"The Commission also finds no evidence in the case to suggest an infringement of paragraphs 3 and 4 of Article 5 (Art. 5-3, 5-4):"
6,The applicant was not detained on remand prior to his trial and the judicial control of the lawfulness of his subsequent detention after conviction was provided by the first instance court
7,"The applicant was not detained on remand prior to his trial and the judicial control of the lawfulness of his subsequent detention after conviction was provided by the first instance court (cf. Eur. Court H.R., De Wilde, Ooms and Versyp judgment of 18 June 1971, Series A no. 12, p. 40, para. 76)."
8,"However, again, the Commission finds no evidence in the case to substantiate this complaint."
9,The applicant next complains under Article 6 para. 1 (Art. 6-1) of the Convention of
10,"in that , allegedly, insufficient reasons were given by the courts to justify his conviction.
"
11,The applicant further complains of the attitude of some of the judges
12,and of not having received a written copy of the first instance judgment in time for the preparation of his appeal.
13,"He alleges that witnesses on his behalf were not duly heard by the courts."
14,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law""."
15,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it."
16,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question."
17,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law""."
18," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation."
19,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings."
20,"On this point, the Commission refers to its constant case-law (see, for example, No. 12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R. 58 p. 63)."
21,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law""."
22,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it."
23,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question."
24,"On this point, the Commission refers to its constant case-law (see, for example, No. 12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R. 58 p. 63).
"
25," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation."
26,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings."
27,"He invokes Articles 9, 10, 11 and 14 (Art. 8, 10, 11, 14) of the Convention, which guarantee these freedoms and prohibit discrimination respectively.
"
28,Everyone has the right to the freedom of expression.
29,"This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authorities and regardless of frontiers ..."
30,"  The exercice of these freedoms, since it carries with it duties and responsibilities, may be subject to such formalities, conditions, restrictions or penalties as are prescribed by law and are necessary in a democratic society, in the interests of national security, territorial integrity or public safety, for the prevention of disorder or crime ...""."
31,"on 27 September 1991, which is more than six months after the date on which the final decision regarding the applicant's case was given by the Court of Cassation on 15 February 1991.
"
32,"However, the application was lodged with the Commission on 11 July 1991, five months after the cassation decision,"
33,"The Commission observes that Article 26 (Art. 26) of the Convention ""should be applied with some degree of flexibility and without excessive formalism"
34,"However, while basing his case on the narrower domestic criminal law provision of Article 192 of the Greek Penal Code, the applicant claimed the right to use the words ""Turk(s)"" or ""Turkish"" to identify the Moslems of Western Thrace."
35, The Commission considers that this indicates an issue falling within the scope of freedom of expression.
36,In claiming a right to use these terms the applicant was formulating a complaint which was linked to the alleged violation of Article 10 (Art. 10) of the Convention.
37,  Article 3 of Protocol No. 1 (P1-3) provides for free elections under conditions which will ensure the free expression of the opinion of the people in the choice of the legislature.
38,"because of his detention."
39, The Commission considers that this indicates an issue falling within the scope of freedom of expression.
40,"The Commission concludes that the applicant has complied with the requirements of Article 26 (Art. 26) of the Convention."
41,"These complaints cannot therefore be regarded as manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention, and no other ground for declaring this part of the case inadmissible has been established."
42,The Commission notes that the applicant's conviction involved his writings.
43,"The applicant does not dispute the existence of a legal basis for his conviction, but he maintains that the conviction and punishment inflicted upon him were without any legitimate purpose"
44,under the Convention and alleges that they constituted a kind of reprisal for his assertion of his Turkish ethnic origin.
45,He also maintains that his conviction and the penal sanctions inflicted upon him were not necessary in a democratic society.
46,He stresses the key role played by freedom of expression in a democratic society. 
47,"because at no time at first instance, on appeal or in cassation did the applicant raise the issues under the Convention, even in substance."
48,"The Government next submits, in respect of Article 26 (Art. 26) of the Convention"
49," In reply the applicant maintains that the breach of which he is complaining consists of a continuing violation,"
50,"it is sufficient that the complaints intended to be made subsequently before the Convention organs should have been raised at least in substance and in compliance with the formal requirements and time-limits laid down in domestic law"" (Eur. Court H.R., Castells judgment of 23 April 1992, Series A no. 236, p. 19, para. 27)."
51,"Therefore, ""he provided the national courts with the opportunity which is in principle intended to be afforded to Contracting States by Article 26 (Art. 26), namely the opportunity of putting right the violations alleged against them"" (Eur. Court H.R., Guzzardi judgment of 6 November 1980, Series A no. 39, p. 27, para. 72)."
52,"that it would not be justified to strike it off the list of cases."
53,"The Commission concludes that the applicant may be said to have complied with the domestic remedies' rule laid down in Article 26 (Art. 26) of the Convention and, consequently, the application cannot be rejected under Article 27 para. 3 (Art. 27-3).
"
54,"The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts. However, this is far from clear at the present stage of the proceedings, and it is therefore impossible to reject the application on this ground."
55,"The Commission considers, in the light of the parties' submissions, that the case raises complex issues of law and fact under the Convention, the determination of which should depend on an examination of the merits of the application as a whole. "
56,The Commission notes the declaration by the applicant's representatives that the applicant's father wishes to pursue proceedings before the Commission.
57,"Moreover, it finds that, in view of the serious nature of the complaints and their connection with the general situation in South-East Turkey,"
58,the application is of such general interest 
59, it anyway finds that the applicant has done all that could be expected in the circumstances.
60,"Moreover, when asked to sign a statement, he had answered that he could not sign because he could not move his hands."
61, The Commission notes the applicant's declaration that he had told the public prosecutor that he had been tortured. 
62,"It is not possible to establish in detail what happened during the applicant's meeting with the public prosecutor, but the Commission finds no reason to doubt that during their conversation there were elements which should have made the public prosecutor initiate an investigation or, at the very least, try to obtain further information from the applicant about his state of health or about the treatment to which he had been subjected."
63,"Moreover, his family had also been affected by the actions of the authorities insofar as his father and one of his brothers had been detained for short periods at about the same time, and the applicant himself was hospitalised for two weeks after his release."
64,"The threats to which the applicant claimed to have been exposed after he had complained to the Commission, as well as his tragic death in circumstances which have so far not been fully clarified, are further elements which may at least support the view that the pursuance of remedies may not be devoid of serious risks."
65,"The Commission does not deem it necessary to determine whether there exists an administrative practice on the part of Turkish authorities tolerating abuses of human rights of the kind alleged by the applicant, because"
66," The applicant submitted that any purported remedy is illusory, inadequate and ineffective."
67,"He did not deny that the procedures identified by the Government are formally part of the Turkish legal structure, but he contended that the Government have not shown how such procedures could conceivably be effective for the specific circumstances of the present case."
68,The applicant considered that none of the remedies suggested by the Government could be regarded as effective because the scale of torture committed with impunity by agents of the State in detention centres is such that this must be considered high-level Government policy - an administrative practice - in regard to which all remedies are theoretical and irrelevant.
69,"This has been confirmed by such bodies as the European Committee for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment, which, in its public statement of 15 December 1992, concluded that the practice of torture and other forms of severe ill-treatment of persons in police custody remains widespread in Turkey, and that such methods are applied to both ordinary criminal suspects and persons held under anti-terrorist provisions (p. 6 para. 21)."
70," The purported remedies were thus ineffective for the following reasons:"
71,"the limitations on rights and remedies created by the state of emergency;"
72," an administrative practice of torture in Turkish detention centres;"
73,"the lack of genuine investigations by public prosecutors and other competent authorities, who ignore the evidence of their own eyes, as in this case, and either do nothing or simply take evidence from the members of the police or security forces;"
74," even if an investigation is made, the lack of effective action being taken afterwards;"
75,"an official attitude of legal unaccountability towards the security forces;"
76," the positive discouragement of those who do wish to seek remedies, as has been demonstrated so tragically in the present case;"
77,"an administrative practice of not respecting the rule under Article 13 (Art. 13) of the Convention which requires the provision of effective domestic remedies; and

-     whether or not there is an administrative practice, domestic remedies were ineffective in this case, owing to the failure of the legal system to provide redress.
"
78,"At present 16 lawyers are facing criminal charges, which include drawing up documents belittling the Turkish State and faxing them to human rights organisations in Europe. "
79,"This is demonstrated in other cases pending before the Commission."
80,Another key group in guaranteeing effective investigation and protection is the medical profession.
81,"Doctors must be free to give
honest accounts of what they have found in their investigations."
82,"However, the applicant alleged that doctors have been intimidated, as
was the case of the doctor whom he consulted at the Dicle Medical Faculty."
83,the Government have referred to a number of judgments by the administrative and criminal courts.
84,"Some of these decisions concern cases in which the State Council has ordered the prosecution of public officials for ill-treating people in custody, despite the initial view of the local administrative council that the cases were unsuitable for criminal proceedings."
85,"the second requirement of Article 26 (Art. 26) of the Convention, namely that of lodging the application within six months of the final effective decision or, if none, within six months of the events of which complaints are made.

"
86,"The present application
was lodged on 3 May 1993, i.e. within the six month period. "
87,"The Government submit that it is generally accepted in the comparative and international law on terrorism, authorising ""certain adaptations of the liberal model"", that restrictions on Convention rights will be deemed necessary in a democratic society threatened by terrorist violence, as being proportionate to the aim of protecting public order."
88," The threat posed to Turkey by the PKK and its affiliations is internationally recognised, as is the need to react firmly to it. "
89,"In this respect the Government assert that the powers exercised by the police while the applicant was in their custody did not exceed the margin of appreciation conferred on States by the Convention."
90,"They add that his death was not the work of any State agent but that of terrorist in-fighting."
91,"As to Articles 6 and 13 (Art. 6, 13) of the Convention, the Government submit that Turkish law guarantees several remedies (as described above at pp. 5-6) without discrimination."
92,The application principally concerns torture and inhuman conditions of detention.
93,"It involves rights under Article 3 (Art. 3) of the Convention which is absolute, unqualified and non-derogable."
94," As regards the complaint under Article 5 para. 3 (Art. 5-3) of the Convention and the derogation under Article 15 (Art. 15), the applicant contested the necessity of a measure permitting detention for as long as 30 days without any of the basic safeguards against abuse, which were deemed to be essential by the Convention organs"
95,"(Eur. Court H.R., Brannigan and McBride judgment of 26 May 1993, Series A no. 258- B, pp. 55-56, paras. 62-66)."
96,The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts.
97,"However, this is far from clear at the present stage of the proceedings,"
98,"It is furthermore established that the burden of
proving the existence of available and sufficient domestic remedies
lies upon the State invoking the rule"
99,"(cf. Eur. Court H.R., De Jong,
Baljet and Van den Brink judgment of 22 May 1984, Series A no. 77, p.
18, para. 36, and Nos. 14116/88 and 14117/88, Sargin and Yagci v.
Turkey, Dec. 11.05.89, D.R. 61 p. 250, 262)."
100,"In the present case, the Government have not provided any
additional information which might lead the Commission to depart from
the above conclusions."
101,"The Commission concludes that this application cannot be
rejected for non-exhaustion of domestic remedies under Articles 26 and
27 para. 3 (Art. 26, 27-3) of the Convention."
102,"The Commission recalls that Article 26 (Art. 26) of the
Convention only requires the exhaustion of such remedies which relate
to the breaches of the Convention alleged and at the same time can
provide effective and sufficient redress."
103,"The Commission is not satisfied in view of the
delays involved that this inquiry can be considered as furnishing an
effective remedy for the purposes of Article 26 (Art. 26) of the
Convention."
104,"The Commission has examined whether the applicant has complied
with the requirement imposed by Article 26 (Art. 26) of the Convention
that an application must be introduced within six months of the final
decision taken in respect of the complaints."
105,"In the present case, the Commission observes that whereas in his
original application the applicant stated that his house was burnt down
on 3 January 1994, it appears that the incident under investigation by
the public prosecutor of Kulp district and the Kulp District
Administrative Board occurred on 13 November 1993."
106,"The Commission
found above that the applicant is not required to pursue domestic
remedies in light of their apparent ineffectiveness."
107,"However,
special considerations could apply in exceptional cases where an
applicant first avails himself of a domestic remedy and only at a later
stage becomes aware, or should have become aware, of the circumstances
which make that remedy ineffective."
108,"becomes aware, or should have become aware, of the circumstances
which make that remedy ineffective."
109,"The case-law of the Commission establishes that where no domestic
remedy is available, the six months period runs from the act complained
of"
110,"(see eg.  No. 10530/83, Dec. 16.5.85, D.R. 42 p. 171)."
111,"the alleged
events seem to have occurred in November 1993 and the investigation has
not yet been concluded. The Commission is not satisfied in view of the
delays involved that this inquiry can be considered as furnishing an
effective remedy for the purposes of Article 26 (Art. 26) of the
Convention."
112,"Given that these circumstances do not disclose any indication
of a delay on the part of the applicant in introducing his application
once it must have become apparent that no redress for his complaints
was forthcoming, the Commission considers that the relevant date for
the purposes of the six months time limit should not be considered to
be a date earlier than February 1994."
113,"In such a situation, the six months
period might be calculated from the time when the applicant becomes
aware, or should have become aware, of these circumstances"
114,"In these
circumstances, the question arises whether the complaints insofar as
they relate to specific acts carried out on 13 November 1993 have been
introduced out of time, given that the application was introduced on
30 June 1993."
115,"The Commission does not deem it necessary to determine whether
there exists an administrative practice on the part of Turkish
authorities tolerating abuses of human rights of the kind alleged by
the applicants, because it agrees with the applicants that it has not
been established that they had at their disposal adequate remedies
under the state of emergency to deal effectively with their complaints."
116,"In the present case, the Government have not provided any
additional information which might lead the Commission to depart from
the above conclusions in respect of remedies available for the
destruction of homes and property in villages and towns."
117,"The Commission recalls that Article 26 (Art. 26) of the
Convention only requires the exhaustion of such remedies which relate
to the breaches of the Convention alleged and at the same time can
provide effective and sufficient redress."
118,"An applicant does not need
to exercise remedies which, although theoretically of a nature to
constitute remedies, do not in reality offer any chance of redressing
the alleged breach."
119,"(cf. Eur. Court H.R., De Jong,
Baljet and Van den Brink judgment of 22 May 1984, Series A no. 77, p.
18, para. 36, and Nos. 14116/88 and 14117/88, Sargin and Yagci v.
Turkey, Dec. 11.05.89, D.R. 61 p. 250, 262)."
120,"It is furthermore established that the burden of
proving the existence of available and sufficient domestic remedies
lies upon the State invoking the rule "
121,"The Commission does not deem it necessary to determine whether
there exists an administrative practice on the part of Turkish
authorities tolerating abuses of human rights of the kind alleged by
the applicants, because it agrees with the applicants that it has not
been established that they had at their disposal adequate remedies
under the state of emergency to deal effectively with their complaints."
122,"In the present case, the Government have not provided any
additional information which might lead the Commission to depart from
the above conclusions in respect of remedies available for the
destruction of homes and property in villages and towns."
123,"In respect of damage alleged to have been caused by the State or
its agents, the Government submit that the applicants had the
possibility of introducing an action for compensation before the civil
or administrative courts relying, inter alia, on Article 125 of the
Turkish Constitution or Article 8 of Decree 430 of 16 December 1990."
124,"The Government also submit that alleged arson, destruction of
property and threatening conduct are prohibited by the Criminal Code,
in respect of which complaints could be lodged with the competent
authorities, civil or military.
"
125,"since
the applicants have failed to exhaust domestic remedies as required by
Article 26 (Art. 26) of the Convention."
