,id,argument,tsne_30_x,tsne_30_y,argument_id,name,cluster_id,kp
6,7,"The applicant was not detained on remand prior to his trial and the judicial control of the lawfulness of his subsequent detention after conviction was provided by the first instance court (cf. Eur. Court H.R., De Wilde, Ooms and Versyp judgment of 18 June 1971, Series A no. 12, p. 40, para. 76).",86.694954,3.8847146,7,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
7,8,"However, again, the Commission finds no evidence in the case to substantiate this complaint.",60.149704,-22.158417,8,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
14,15,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it.",44.82715,-13.566013,15,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
15,16,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question.",67.164505,-11.211986,16,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
17,18," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",64.62,-27.645006,18,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
18,19,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",40.63782,-36.98682,19,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
19,20,"On this point, the Commission refers to its constant case-law (see, for example, No. 12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R. 58 p. 63).",80.70096,-2.4870903,20,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
21,22,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it.",44.82715,-13.566013,22,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
22,23,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question.",67.164505,-11.211986,23,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
24,25," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",64.62,-27.645006,25,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
25,26,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",40.894684,-37.52254,26,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
27,28,Everyone has the right to the freedom of expression.,-5.958983,-0.31389526,28,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
34,35, The Commission considers that this indicates an issue falling within the scope of freedom of expression.,-3.3362737,0.70458937,35,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
35,36,In claiming a right to use these terms the applicant was formulating a complaint which was linked to the alleged violation of Article 10 (Art. 10) of the Convention.,42.42991,8.342822,36,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
38,39, The Commission considers that this indicates an issue falling within the scope of freedom of expression.,-3.3362737,0.70458937,39,00.txt,-1,The European Court of Justice (ECJ) has upheld a decision of the Court of Cassation in which it held that the applicant had not raised his complaints during the proceedings before the Court of Cassation.
