,id,argument,argument_id,name,argument_pegasus
0,1,The Commission notes that the applicant was detained after having been sentenced by the first instance court to 18 months' imprisonment.,1,00.txt,The European Court of Human Rights (ECHR) has ordered the release on bail of a man who was arrested in connection with a case of false imprisonment.
1,2,"He was released after the Court of Appeal reviewed this sentence, reducing it to 15 months' imprisonment, convertible to a fine.",2,00.txt,"David Cameron's former chief of staff, Nick Clegg, has been jailed for 18 months for perverting the course of justice."
2,3," Article 5 para. 1 (Art. 5-1) of the Convention guarantees the right to liberty and security of person, subject to certain exceptions, such as the lawful detention of a person after conviction by a competent court, within the meaning of sub-paragraph (a) of the provision.",3,00.txt,The European Convention on Human Rights applies to all members of the European Union.
3,4,"The Commission finds that the applicant was deprived of his liberty ""after conviction by a competent court"" within the meaning of Article 5 para. 1 (a) (Art. 5-1-a) of the Convention.",4,00.txt,The European Court of Human Rights (ECHR) has upheld the decision of the Court of Justice of the European Union (CJEU) to uphold the conviction of a Moroccan man for possession of a firearm.
4,5,"The Commission also finds no evidence in the case to suggest an infringement of paragraphs 3 and 4 of Article 5 (Art. 5-3, 5-4):",5,00.txt,The European Commission finds no case to answer in relation to the case brought by the UK against the European Court of Justice (ECJ).
5,6,The applicant was not detained on remand prior to his trial and the judicial control of the lawfulness of his subsequent detention after conviction was provided by the first instance court,6,00.txt,The Court of Appeal for Northern Ireland has rejected an appeal by a man against his conviction for possessing child pornography.
6,7,"The applicant was not detained on remand prior to his trial and the judicial control of the lawfulness of his subsequent detention after conviction was provided by the first instance court (cf. Eur. Court H.R., De Wilde, Ooms and Versyp judgment of 18 June 1971, Series A no. 12, p. 40, para. 76).",7,00.txt,The Court of Justice of the European Union (CJEU) has dismissed an appeal against a decision by the European Court of Human Rights (ECHR) to uphold the conviction of a man for indecent exposure.
7,8,"However, again, the Commission finds no evidence in the case to substantiate this complaint.",8,00.txt,"The European Commission has again received a complaint from a former member of the European Parliament, alleging that the Commission has failed to protect the interests of the European Parliament."
8,9,The applicant next complains under Article 6 para. 1 (Art. 6-1) of the Convention of,9,00.txt,The Court of Justice of the European Union upholds the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of Human Rights (ECHR) to uphold the decision of the European Court of
9,10,"in that , allegedly, insufficient reasons were given by the courts to justify his conviction.
",10,00.txt,The European Court of Human Rights (ECHR) has overturned the conviction of former Turkish Prime Minister Recep Tayyip Erdogan for corruption.
10,11,The applicant further complains of the attitude of some of the judges,11,00.txt,An application has been made in the Supreme Court for a review of the decision of the Uttarakhand High Court which dismissed an appeal by a man against a lower court's decision to grant him leave to appeal to the Supreme Court.
11,12,and of not having received a written copy of the first instance judgment in time for the preparation of his appeal.,12,00.txt,The Court of Appeal has dismissed an appeal against a ruling by the High Court that a man should not be allowed to appeal against a conviction for grievous bodily harm.
12,13,He alleges that witnesses on his behalf were not duly heard by the courts.,13,00.txt,Northern Ireland's Deputy First Minister Martin McGuinness is taking legal action against the High Court in Belfast and the Court of Appeal in Dublin.
13,14,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",14,00.txt,The European Court of Human Rights (ECHR) has ruled in favour of the UK in a case brought against it by the European Commission under the European Convention on Human Rights (ECHR).
14,15,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it.",15,00.txt,"The Court of Justice of the European Union (CJEU) has held that an application for leave to appeal from a decision of the European Court of Human Rights (ECHR) must be made on the basis of ""clear and convincing evidence""."
15,16,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question.",16,00.txt,Any complaint made before the European Commission must be made in writing to the Commission no later than 30 days before the date of the hearing.
16,17,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",17,00.txt,The European Court of Human Rights (ECHR) has ruled in favour of the UK in a case brought against it by the European Commission under the European Convention on Human Rights (ECHR).
17,18," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",18,00.txt,The European Commission has received a number of complaints about the way in which the European Court of Justice (ECJ) has dealt with a number of cases brought against it by individuals and groups.
18,19,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",19,00.txt,The Court of Justice of the European Union (CJEU) has rejected the applicant's complaint that the Court of Justice of the European Union (CJEU) did not have the jurisdiction to hear the case.
19,20,"On this point, the Commission refers to its constant case-law (see, for example, No. 12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R. 58 p. 63).",20,00.txt,"The European Court of Justice (ECJ) has made it clear that it is not the Court of Justice of the European Union (CJEU) that decides disputes between member states, but rather the European Commission."
20,21,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",21,00.txt,The European Court of Human Rights (ECHR) has ruled in favour of the UK in a case brought against it by the European Commission under the European Convention on Human Rights (ECHR).
21,22,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it.",22,00.txt,"The Court of Justice of the European Union (CJEU) has held that an application for leave to appeal from a decision of the European Court of Human Rights (ECHR) must be made on the basis of ""clear and convincing evidence""."
22,23,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question.",23,00.txt,Any complaint made before the European Commission must be made in writing to the Commission no later than 30 days before the date of the hearing.
23,24,"On this point, the Commission refers to its constant case-law (see, for example, No. 12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R. 58 p. 63).
",24,00.txt,"The European Court of Justice (ECJ) has made it clear that it is not the Court of Justice of the European Union (CJEU) that decides disputes between member states, but rather the European Commission."
24,25," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",25,00.txt,The European Commission has received a number of complaints about the way in which the European Court of Justice (ECJ) has dealt with a number of cases brought against it by individuals and groups.
25,26,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",26,00.txt,The Court of Justice of the European Union (CJEU) has rejected the applicant's complaint that the Court of Justice of the European Union (CJEU) did not have the jurisdiction to hear the case.
26,27,"He invokes Articles 9, 10, 11 and 14 (Art. 8, 10, 11, 14) of the Convention, which guarantee these freedoms and prohibit discrimination respectively.
",27,00.txt,"The UN High Commissioner for Human Rights, Zeid Raad al-Hussein, has written to the member states of the European Convention on Human Rights (ECHR) to remind them of their obligations to respect human rights and fundamental freedoms."
27,28,Everyone has the right to the freedom of expression.,28,00.txt,All photographs are copyrighted.
28,29,This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authorities and regardless of frontiers ...,29,00.txt,The Universal Declaration of Human Rights enshrines the right to freedom of opinion and expression.
