,name,argument,clause_id
0,00.txt,The Commission notes that the applicant was detained after having been sentenced by the first instance court to 18 months' imprisonment.,5d4be09d3e582511aa1cda28
1,00.txt,"He was released after the Court of Appeal reviewed this sentence, reducing it to 15 months' imprisonment, convertible to a fine.",5d4be0c33e582511aa1cda2b
2,00.txt," Article 5 para. 1 (Art. 5-1) of the Convention guarantees the right to liberty and security of person, subject to certain exceptions, such as the lawful detention of a person after conviction by a competent court, within the meaning of sub-paragraph (a) of the provision.",5d4be0803e582511aa1cda22
3,00.txt,"The Commission finds that the applicant was deprived of his liberty ""after conviction by a competent court"" within the meaning of Article 5 para. 1 (a) (Art. 5-1-a) of the Convention.",5d4be0ff3e582511aa1cda37
4,00.txt,"The Commission also finds no evidence in the case to suggest an infringement of paragraphs 3 and 4 of Article 5 (Art. 5-3, 5-4):",5d4be1143e582511aa1cda3a
5,00.txt,The applicant was not detained on remand prior to his trial and the judicial control of the lawfulness of his subsequent detention after conviction was provided by the first instance court,5d4be15f3e582511aa1cda47
6,00.txt,"The applicant was not detained on remand prior to his trial and the judicial control of the lawfulness of his subsequent detention after conviction was provided by the first instance court (cf. Eur. Court H.R., De Wilde, Ooms and Versyp judgment of 18 June 1971, Series A no. 12, p. 40, para. 76).",5d4be1ac3e582511aa1cda49
7,00.txt,"However, again, the Commission finds no evidence in the case to substantiate this complaint.",5d4be2123e582511aa1cda4b
8,00.txt,The applicant next complains under Article 6 para. 1 (Art. 6-1) of the Convention of,5d4be2483e582511aa1cda4d
9,00.txt,"in that , allegedly, insufficient reasons were given by the courts to justify his conviction.
",5d4be2663e582511aa1cda4f
10,00.txt,The applicant further complains of the attitude of some of the judges,5d4be2aa3e582511aa1cda50
11,00.txt,and of not having received a written copy of the first instance judgment in time for the preparation of his appeal.,5d4be2c23e582511aa1cda51
12,00.txt,He alleges that witnesses on his behalf were not duly heard by the courts.,5d4be2d63e582511aa1cda53
13,00.txt,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",5d4be3263e582511aa1cda5e
14,00.txt,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it.",5d4be3b33e582511aa1cda73
15,00.txt,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question.",5d4be3e53e582511aa1cda7a
16,00.txt,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",5d4be3fc3e582511aa1cda7d
17,00.txt," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",5d4be4133e582511aa1cda81
18,00.txt,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",5d4be4243e582511aa1cda84
19,00.txt,"On this point, the Commission refers to its constant case-law (see, for example, No. 12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R. 58 p. 63).",5d4be4a43e582511aa1cda92
20,00.txt,"Under the terms of Article 26 (Art. 26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",5d4be4e23e582511aa1cda9d
21,00.txt,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it.",5d4be4f83e582511aa1cdaa2
22,00.txt,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question.",5d4be50a3e582511aa1cdaa5
23,00.txt,"On this point, the Commission refers to its constant case-law (see, for example, No. 12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R. 58 p. 63).
",5d4be52c3e582511aa1cdaaa
24,00.txt," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",5d4be53e3e582511aa1cdaae
25,00.txt,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",5d4be5503e582511aa1cdab1
26,00.txt,"He invokes Articles 9, 10, 11 and 14 (Art. 8, 10, 11, 14) of the Convention, which guarantee these freedoms and prohibit discrimination respectively.
",5d4be5d83e582511aa1cdac1
27,00.txt,Everyone has the right to the freedom of expression.,5d4be6023e582511aa1cdac7
28,00.txt,This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authorities and regardless of frontiers ...,5d4be6143e582511aa1cdacb
29,00.txt,"  The exercice of these freedoms, since it carries with it duties and responsibilities, may be subject to such formalities, conditions, restrictions or penalties as are prescribed by law and are necessary in a democratic society, in the interests of national security, territorial integrity or public safety, for the prevention of disorder or crime ..."".",5d4be6273e582511aa1cdacf
30,00.txt,"on 27 September 1991, which is more than six months after the date on which the final decision regarding the applicant's case was given by the Court of Cassation on 15 February 1991.
",5d4be6a13e582511aa1cdadf
31,00.txt,"However, the application was lodged with the Commission on 11 July 1991, five months after the cassation decision,",5d4be6d73e582511aa1cdae1
32,00.txt,"The Commission observes that Article 26 (Art. 26) of the Convention ""should be applied with some degree of flexibility and without excessive formalism",5f923f00bf181507836f9e25
33,00.txt,"However, while basing his case on the narrower domestic criminal law provision of Article 192 of the Greek Penal Code, the applicant claimed the right to use the words ""Turk(s)"" or ""Turkish"" to identify the Moslems of Western Thrace.",5f923f79bf181507836f9e28
34,00.txt, The Commission considers that this indicates an issue falling within the scope of freedom of expression.,5d4be8eb3e582511aa1cdb20
35,00.txt,In claiming a right to use these terms the applicant was formulating a complaint which was linked to the alleged violation of Article 10 (Art. 10) of the Convention.,5f924e19bf181507836f9e3b
36,00.txt,  Article 3 of Protocol No. 1 (P1-3) provides for free elections under conditions which will ensure the free expression of the opinion of the people in the choice of the legislature.,5d4beb033e582511aa1cdb28
37,00.txt,because of his detention.,5d4beb153e582511aa1cdb29
38,00.txt, The Commission considers that this indicates an issue falling within the scope of freedom of expression.,5d4beb9b3e582511aa1cdb2c
39,00.txt,The Commission concludes that the applicant has complied with the requirements of Article 26 (Art. 26) of the Convention.,5d4bebb23e582511aa1cdb2d
40,00.txt,"These complaints cannot therefore be regarded as manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention, and no other ground for declaring this part of the case inadmissible has been established.",5d4bebc83e582511aa1cdb2e
41,00.txt,The Commission notes that the applicant's conviction involved his writings.,5d4beb6e3e582511aa1cdb2b
42,00.txt,"The applicant does not dispute the existence of a legal basis for his conviction, but he maintains that the conviction and punishment inflicted upon him were without any legitimate purpose",5d4e9ba83e582511aa1ce288
43,00.txt,under the Convention and alleges that they constituted a kind of reprisal for his assertion of his Turkish ethnic origin.,5d4e9bc73e582511aa1ce289
44,00.txt,He also maintains that his conviction and the penal sanctions inflicted upon him were not necessary in a democratic society.,5d4bea263e582511aa1cdb24
45,00.txt,He stresses the key role played by freedom of expression in a democratic society. ,5d4bea3e3e582511aa1cdb25
46,00.txt,"because at no time at first instance, on appeal or in cassation did the applicant raise the issues under the Convention, even in substance.",5f923d84bf181507836f9e1b
47,00.txt,"The Government next submits, in respect of Article 26 (Art. 26) of the Convention",5f923d6bbf181507836f9e1a
48,00.txt," In reply the applicant maintains that the breach of which he is complaining consists of a continuing violation,",5d4be7733e582511aa1cdafc
49,00.txt,"it is sufficient that the complaints intended to be made subsequently before the Convention organs should have been raised at least in substance and in compliance with the formal requirements and time-limits laid down in domestic law"" (Eur. Court H.R., Castells judgment of 23 April 1992, Series A no. 236, p. 19, para. 27).",5f923eedbf181507836f9e24
50,00.txt,"Therefore, ""he provided the national courts with the opportunity which is in principle intended to be afforded to Contracting States by Article 26 (Art. 26), namely the opportunity of putting right the violations alleged against them"" (Eur. Court H.R., Guzzardi judgment of 6 November 1980, Series A no. 39, p. 27, para. 72).",5d4be8913e582511aa1cdb1d
51,01.txt,that it would not be justified to strike it off the list of cases.,5d3aae5d3e582511aa1cc155
52,01.txt,"The Commission concludes that the applicant may be said to have complied with the domestic remedies' rule laid down in Article 26 (Art. 26) of the Convention and, consequently, the application cannot be rejected under Article 27 para. 3 (Art. 27-3).
",5d3aaea13e582511aa1cc15d
53,01.txt,"The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts. However, this is far from clear at the present stage of the proceedings, and it is therefore impossible to reject the application on this ground.",5d3aaee83e582511aa1cc164
