id,name,argument
1,15.txt,"There could be no doubt that by the reference in that reservation to ""measures for the deprivation of liberty"" the Austrian Government had meant to include proceedings resulting in such measures."
2,15.txt,"Any other construction would not only lack coherence; it would also run counter to the authorities' intention, which had been to remove from the scope of the Convention the whole administrative system, including the substantive and procedural provisions of administrative criminal law.  "
3,15.txt,"That would be so even in a case where, as in this instance, the accused was merely fined, in so far as default on payment of that fine would entail committal to prison."
4,15.txt,"Admittedly, the Road Traffic Act 1960 was not one of the four laws designated in the reservation."
5,15.txt,"However, one of those laws, the Administrative Criminal Justice Act, stated in section 10 that, except as otherwise provided, the general administrative laws were to determine the nature and severity of sanctions."
6,15.txt,"It mattered little in this respect that section 5 of the Road Traffic Act, which was applied in the present case, had been enacted after the reservation had been deposited, because that provision merely clarified the substance of an existing obligation laid down in section 7 of the Traffic Police Act 1947 (see paragraph 17 above).  "
7,15.txt," In the first place, it failed to satisfy the requirements of Article 64 (art. 64) of the Convention, which provides:  "
8,15.txt,"Any State may, when signing [the] Convention or when depositing its instrument of ratification, make a reservation in respect of any particular provision of the Convention to the extent that any law then in force in its territory is not in conformity with the provision (art. 64)."
9,15.txt,"Reservations of a general character shall not be permitted under this Article (art. 64).  "
10,15.txt," Any reservation made under this Article (art. 64) shall contain a brief statement of the law concerned.""  "
11,15.txt,"Secondly, on a strict construction, its wording precluded extending its scope to the procedural sphere, which was in issue here"
12,15.txt,"The Court points out that in the Chorherr v. Austria judgment of 25 August 1993 it held that Austria's reservation in respect of Article 5 (art. 5) of the Convention was compatible with Article 64 (art. 64) (Series A no. 266-B, p. 35, para. 21)."
13,15.txt,"It therefore remains only to ascertain whether the provisions (art. 5, art. 64) applied in the present case are covered by that reservation.  "
14,15.txt,"They differ in certain essential respects from those in issue in the Chorherr case."
15,15.txt,"The Court notes that Mr Gradinger based his complaints on Article 6 (art. 6) of the Convention, whereas the wording of the reservation invoked by the Government mentions only Article 5 (art. 5) and makes express reference solely to measures for the deprivation of liberty."
16,15.txt,"Moreover, the reservation only comes into play where both substantive and procedural provisions of one or more of the four specific laws indicated in it have been applied."
17,15.txt,"Here, however, the substantive provisions of a different Act, the Road Traffic Act 1960, were applied."
18,15.txt,"This was true not only of the administrative authorities, but also of the Constitutional Court, whose review was confined to constitutional issues, and above all of the Administrative Court."
19,15.txt,"The latter was bound by the administrative authorities' findings of fact, except where there was a procedural defect within the meaning of section 42(2), sub-paragraph 3, of the Administrative Court Act (see paragraph 24 above)."
20,15.txt,"It was therefore not empowered to take evidence itself, or to establish the facts, or to take cognisance of new matters."
