,cluster_id,sentences
0,2,It recalls both its own findings and those of the Commission as to the general inadequacy and unreliability of custody records
0,2,This is demonstrated in other cases pending before the Commission.
0,2,Publication was also necessary to protect the economic well-being of the country as the report revealed weakness in the system of takeover bids.
0,2,"In the present case,
there was a formidable case against the applicant which called for
evidence from the applicant if there was an innocent explanation for
his conduct."
0,2,"It was therefore not empowered to take evidence itself, or to establish the facts, or to take cognisance of new matters."
0,2,"It cannot speculate as to what the outcome of the proceedings in issue might have been if the violation of the Convention had not occurred (see the Hauschildt v. Denmark judgment of 24 May 1989,"
0,2,"He also wrote a book which was published
after his release."
0,2,"In these circumstances, the Commission finds that the application cannot be declared inadmissible for non-exhaustion of domestic remedies."
0,2,"It only applies if the applicant can be said to have an ""arguable claim"" of a violation of the Convention"
0,2," The restraint was
also not proportionate to the aim,"
0,2,"Moreover, if contempt proceedings had been brought before a different bench, there would have been certain undesirable consequences that could not have been overlooked: the members of the bench would have had to testify about the events which had taken place before their eyes."
0,2,"Furthermore, an examination of the
case does not disclose the existence of any special circumstances which
might have interrupted or suspended the running of that period."
0,2,This was indeed what actually happened in respect of the piece in issue in the present case.
0,2,"What is likely to cause substantial offence to persons of a particular religious persuasion will vary significantly from time to time and from place to place, especially in an era characterised by an ever growing array of faiths and denominations."
0,2,"This injury was consistent with Palestinian hanging.
"
0,2,The Commission finds that the suggested application for discretionary relief in the instant case cannot do so either.
0,2,"The mere
fact that, by virtue of general words a complaint is not excluded from
an application, is not sufficient to regard that complaint as having
been made. "
0,2," For present purposes it may, therefore, be assumed that it makes no material difference whether a positive or a negative obligation is at stake. "
0,2,The report could only be published in its entirety or not at all.
0,2,All communication was via a sound link.
0,2,This is moreover reflected in the terminology employed.  
0,2,"The Court reiterates that the reasonableness of the length of proceedings must be assessed in the light of the circumstances of the case and with reference to the criteria established by its case-law, particularly the complexity of the case, the conduct of the applicant and of the relevant authorities and what was at stake for the applicant in the dispute"
0,2," In this context, the Commission had
regard to the criminal proceedings instituted against three police
officers upon accusations of ill-treatment raised by the applicant's
husband, which the applicant's husband joined as a private party
claiming compensation."
0,2,"An applicant does not need
to exercise remedies which, although theoretically of a nature to
constitute remedies, do not in reality offer any chance of redressing
the alleged breach."
0,2,The actual opinion of believers remains unknown. 
0,2, I refer in this context to footnote 62 of my aforementioned separate opinion in the case of Fischer v. Austria. 
0,2,"Having found the aim of not only making but also publishing Inspectors’ reports to be legitimate, the Court cannot apply the test of proportionality in such a way as to render publication impracticable."
0,2, The notion of security of person has not been given an independent interpretation
0,2,"  For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it."
0,2, I refer in this context to footnote 62 of my aforementioned separate opinion in the case of Fischer v. Austria.
0,2,He was questioned about his individual application and was asked whether the signatures on the letter of authority and his statement to the Human Rights Association belonged to him.
0,2," In reply the applicant maintains that the breach of which he is complaining consists of a continuing violation,"
0,2,They claimed that the medical reports he had provided did not establish any causal link.
0,2,The Commission notes that the applicant's conviction involved his writings.
0,2,"Elements of the latter kind, he claimed, had been provided which should be capable of so satisfying an objective observer."
0,2,The fact that the behaviour concerned takes place on private premises does not suffice to ensure complete immunity and impunity.
0,2,"because it cannot cover offences which were not in force
at the date of the reservation."
0,2,"Moreover, when asked to sign a statement, he had answered that he could not sign because he could not move his hands."
