,cluster_id,sentences,topic
0,20,It recalls both its own findings and those of the Commission as to the general inadequacy and unreliability of custody records,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
1,20,This is demonstrated in other cases pending before the Commission.,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
2,20,"In these circumstances, the Commission finds that the application cannot be declared inadmissible for non-exhaustion of domestic remedies.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
3,20,The Commission finds that the suggested application for discretionary relief in the instant case cannot do so either.,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
4,20," In this context, the Commission had
regard to the criminal proceedings instituted against three police
officers upon accusations of ill-treatment raised by the applicant's
husband, which the applicant's husband joined as a private party
claiming compensation.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
5,20,The Commission notes that the applicant's conviction involved his writings.,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
6,20,"In the present case that the Commission finds that the first
applicant has not shown that complaints 1(a) to (g), (i) to (n) and (p)
were raised at least in substance before the domestic courts.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
7,20,"The Commission's task is to
ascertain whether the proceedings in their entirety were fair",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
8,20,"  The Commission notes that the proceedings instituted against the
applicant have not yet been terminated. ",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
9,20,"However, again, the Commission finds no evidence in the case to substantiate this complaint.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
10,20," The
Commission, taking into account the applicant's position in these
proceedings and the impact of their outcome on her own financial
situation,",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
11,20," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
12,20,"In this
respect, they refer to the numerous other matters related to the
proceedings at issue, and the proceedings before the Vienna Juvenile
Court.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
13,20," In the present case, the applicant did not bring private
prosecution proceedings against the police officers concerned for
insult, or, assuming that the alleged acts had to be prosecuted ex
officio, lay any criminal charges against the police officers
requesting their prosecution.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
14,20,"They submit in particular
that the applicant did not bring private prosecution proceedings
against the police officers concerned for insult within the meaning of
S. 115 of the Penal Code.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
15,20," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
16,20,"The case-law of the Commission establishes that where no domestic
remedy is available, the six months period runs from the act complained
of",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
17,20,The Commission finds that no elements of arbitrariness are disclosed in the present case.,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
18,20,This view was reached by both the Board of Film Classification and the Video Appeals Committee following a careful consideration of the arguments in defence of his work presented by the applicant in the course of two sets of proceedings.,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
19,20,"In these circumstances, the Commission did not find it necessary to examine whether the detention was ""lawful"" under domestic law.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
20,20,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
21,20, The Commission notes the applicant's declaration that he had told the public prosecutor that he had been tortured. ,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
22,20,"The Commission finds no appearance
of such a violation.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
23,20,"The Commission finds that they have insufficient
means to pay for legal representation themselves.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
24,20,In the circumstances the Commission finds that no appearance of a violation of Article 1 of Protocol No. 1 (P1-1) has been disclosed in the present case.,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
25,20,"Consequently, the Commission finds that the remedy cannot realistically
have been available to the applicants in this case.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
26,20," In the above circumstances the Commission finds that it has not
been shown that domestic remedies have been exhausted.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
27,20,"In the
present case the Commission notes, in particular, the expert evidence
submitted by the second applicant's present therapist, recommending
that the therapy should continue.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
28,20,"The Commission finds that the applicant, who was convicted for
speeding twice in the course of one journey, but over separate
stretches of road, was convicted not of one but of two separate
offences.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
29,20,The Commission notes the declaration by the applicant's representatives that the applicant's father wishes to pursue proceedings before the Commission.,The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
30,20,"In the course of these proceedings, the
allegations of the applicant's husband were carefully examined at two
court levels.
",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
31,20,"It flows from the very essence
of this right that it must be open to individuals to complain of
alleged infringements of it in the proceedings before the Commission.",The European Court of Human Rights (ECHR) has ruled in a case brought by a woman that her husband's complaints against the police were not raised at least in substance before the domestic courts.
32,10,"I cannot see any justification for such differentiation, which does not find support in the wording or the purpose of Article 6 (art. 6)  .","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
33,10,"In the first place, it failed to satisfy the requirements of Article 64 (art. 64) of the Convention, which provides:","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
34,10,The Government consider that the absence of an oral public and direct hearing is covered by the Austrian reservation to Article 6 (Art. 6) of the Convention.,"The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
35,10, He agrees that the scope of review by the Constitutional Court and Administrative Court does not comply with Article 6 (Art. 6) of the Convention.,"The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
36,10,"Accordingly, there is no appearance of a violation of Article 6
para. 1 (Art. 6-1).","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
37,10,"Although there is authority for the proposition that, if a violation of the principle of impartiality is found, it is not necessary to examine other complaints under Article 6 of the Convention","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
38,10,In the latter kind of case Article 6 para. 1 (art. 6-1) may have a degree of applicability.,"The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
39,10,"Whilst it is true that
an action in defamation against these public officials would probably
have been successfully defended on the ground of privilege, this merely
reflects the limited content of the right to reputation under domestic
law, rather than the right of access to court for determining the
applicants' civil rights under Article 6 para. 1 (Art. 6-1) of the
Convention.","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
40,10," With regard to the declaration made by Austria when
ratifying Protocol No. 7, the Government submit first that the
declaration is not required to comply with Article 64 (Art. 64) of the
Convention","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
41,10,"In this way the Article (art. 6-1) embodies the ‘right to a court’, of which the right of access, that is the right to institute proceedings before courts in civil matters, constitutes one aspect only"" (loc. cit., p. 18, para. 36).","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
42,10,"In the first place, it failed to satisfy the requirements of Article 64 (art. 64) of the Convention, which provides:  ","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
43,10,"The Court reiterates that decisions taken by administrative authorities which do not themselves satisfy the requirements of Article 6 para. 1 (art. 6-1) of the Convention - as is the case in this instance with the district authority and the regional government (see paragraphs 10, 11 and 12 above) - must be subject to subsequent control by a ""judicial body that has full jurisdiction"" (see, inter alia and mutatis mutandis, the following judgments:","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
44,10,"The applicants’ argument would amount to reading into Article 6 para. 1 (art. 6-1) an entitlement to have a report such as the one in the present case not published until after a full judicial hearing repeating, doubtless over a longer time-scale, the same fact-finding exercise as that already carried out by the Inspectors.","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
45,10,"It follows that when the compatibility of those powers with Article 6 para. 1 (art. 6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
46,10,"In these circumstances the Commission concludes that the applicants' rights under Article 6 paras.

1 and 2 (Art. 6-1, 6-2) of the Convention in respect of the earlier risk of criminal prosecution were not infringed.","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
47,10,"They maintained that, unlike procedural barriers to access to court, such an exercise by the State of the power to fix the content of a particular civil right did not bring into play Article 6 para. 1 (art. 6-1), although it might on occasions raise an issue in relation to one or other of the substantive rights protected by the Convention (such as the right to respect for private life under Article 8) (art. 8).","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
48,10,"Consideration of the various issues involved ultimately led me to the conclusion that Article 6 paras. 1 and 3 (d) (art. 6-1, art. 6-3-d) have not been violated in the present case.","The Court of Justice of the European Union (CJEU) has upheld the decision of the European Court of Human Rights to dismiss the complaint against the President of the European Commission, Jean-Claude Juncker..."
