kp,argument,match_score
who was detained over a long period of time.,The Commission notes that the applicant was detained after having been sentenced by the first instance court to 18 months' imprisonment.,0.9892839789390564
The applicant filed an appeal.,"He was released after the Court of Appeal reviewed this sentence, reducing it to 15 months' imprisonment, convertible to a fine.",0.9809963703155518
Regarding the alleged violation of Article 5 para.,"The Commission finds that the applicant was deprived of his liberty ""after conviction by a competent court"" within the meaning of Article 5 para.,5-1-a) of the Convention.",0.9994792342185974
Regarding the alleged violation of Article 5 para.,The Commission also finds no evidence in the case to suggest an infringement of paragraphs 3 and 4 of Article 5 (Art.,0.999077558517456
"(see, inter alia and mutatis mutandis, the following judgments:","Court H.R., De Wilde, Ooms and Versyp judgment of 18 June 1971, Series A no.",0.9630268216133118
"Thus, they cannot, on arguable grounds, claim.","However, again, the Commission finds no evidence in the case to substantiate this complaint.",0.9670010209083556
Regarding the alleged violation of Article 5 para.,"The applicant next complains under Article 6 para.,6-1) of the Convention of",0.9996957778930664
In the light of the reasons.,"in that , allegedly, insufficient reasons were given by the courts to justify his conviction.",0.9996215105056764
The applicant also complains of degrading treatment contrary to.,The applicant further complains of the attitude of some of the judges,0.9997029900550842
The applicant has therefore exhausted domestic remedies and also.,"Under the terms of Article 26 (Art.,26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",0.9997132420539856
The applicant has therefore exhausted domestic remedies and also.,"Under the terms of Article 26 (Art.,26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",0.9997132420539856
No such action has been brought.,"In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",0.9907366633415222
"The applicable principles are, nonetheless, similar.","In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",0.9935107827186584
"(see, inter alia and mutatis mutandis, the following judgments:","On this point, the Commission refers to its constant case-law (see, for example, No.",0.9539470672607422
The applicant has therefore exhausted domestic remedies and also.,"Under the terms of Article 26 (Art.,26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",0.9997132420539856
"(see, inter alia and mutatis mutandis, the following judgments:","On this point, the Commission refers to its constant case-law (see, for example, No.",0.9539470672607422
No such action has been brought.,"In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",0.9907366633415222
"The applicable principles are, nonetheless, similar.","In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",0.9935107827186584
Everyone has the right to the freedom of expression.,"He invokes Articles 9, 10, 11 and 14 (Art.,8, 10, 11, 14) of the Convention, which guarantee these freedoms and prohibit discrimination respectively.",0.9991014003753662
Everyone has the right to the freedom of expression.,Everyone has the right to the freedom of expression.,1.0
Everyone has the right to the freedom of expression.,This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authorities and regardless of frontiers,0.9997134804725648
"Within six months of this date, i.e.","on 27 September 1991, which is more than six months after the date on which the final decision regarding the applicant's case was given by the Court of Cassation on 15 February 1991.",0.999125063419342
"Within six months of this date, i.e.","However, the application was lodged with the Commission on 11 July 1991, five months after the cassation decision,",0.9910663962364196
Everyone has the right to the freedom of expression.,"The Commission observes that Article 26 (Art.,26) of the Convention ""should be applied with some degree of flexibility and without excessive formalism",0.9952468276023864
Everyone has the right to the freedom of expression.,The Commission considers that this indicates an issue falling within the scope of freedom of expression.,0.999708354473114
Everyone has the right to the freedom of expression.,"In claiming a right to use these terms the applicant was formulating a complaint which was linked to the alleged violation of Article 10 (Art.,10) of the Convention.",0.9991927742958068
Everyone has the right to the freedom of expression.,"Article 3 of Protocol No.,1 (P1-3) provides for free elections under conditions which will ensure the free expression of the opinion of the people in the choice of the legislature.",0.999675154685974
who was detained over a long period of time.,because of his detention.,0.9975086450576782
Everyone has the right to the freedom of expression.,The Commission considers that this indicates an issue falling within the scope of freedom of expression.,0.999708354473114
Regarding the alleged violation of Article 5 para.,The Commission concludes that the applicant has complied with the requirements of Article 26 (Art.,0.9752103090286256
Regarding the alleged violation of Article 5 para.,These complaints cannot therefore be regarded as manifestly ill-founded within the meaning of Article 27 para.,0.9745868444442748
"Thus, they cannot, on arguable grounds, claim.","The applicant does not dispute the existence of a legal basis for his conviction, but he maintains that the conviction and punishment inflicted upon him were without any legitimate purpose",0.9710575938224792
The applicant also complains of degrading treatment contrary to.,under the Convention and alleges that they constituted a kind of reprisal for his assertion of his Turkish ethnic origin.,0.912040650844574
The applicant filed an appeal.,He also maintains that his conviction and the penal sanctions inflicted upon him were not necessary in a democratic society.,0.956449806690216
Everyone has the right to the freedom of expression.,He stresses the key role played by freedom of expression in a democratic society.,0.9996912479400636
Regarding the alleged violation of Article 5 para.,"In reply the applicant maintains that the breach of which he is complaining consists of a continuing violation,",0.997759222984314
Regarding the alleged violation of Article 5 para.,"26), namely the opportunity of putting right the violations alleged against them"" (Eur.",0.9991010427474976
The applicant has therefore exhausted domestic remedies and also.,The Commission concludes that the applicant may be said to have complied with the domestic remedies' rule laid down in Article 26 (Art.,0.999717891216278
"Thus, they cannot, on arguable grounds, claim.","The Commission considers that the Government's argument could only be accepted if it were clear that the application was based on untrue facts.,However, this is far from clear at the present stage of the proceedings, and it is therefore impossible to reject the application on this ground.",0.9925234913825988
the application is of such general interest,the application is of such general interest,1.0
The applicant also complains of degrading treatment contrary to.,The Commission notes the applicant's declaration that he had told the public prosecutor that he had been tortured.,0.9984897375106812
The applicant also complains of degrading treatment contrary to.,"The Commission does not deem it necessary to determine whether there exists an administrative practice on the part of Turkish authorities tolerating abuses of human rights of the kind alleged by the applicant, because",0.9019977450370787
In the light of the reasons.,The purported remedies were thus ineffective for the following reasons:,0.9989226460456848
