,cluster_id,sentences
0,20,It recalls both its own findings and those of the Commission as to the general inadequacy and unreliability of custody records
0,20,This is demonstrated in other cases pending before the Commission.
0,20,"In these circumstances, the Commission finds that the application cannot be declared inadmissible for non-exhaustion of domestic remedies."
0,20,The Commission finds that the suggested application for discretionary relief in the instant case cannot do so either.
0,20," In this context, the Commission had
regard to the criminal proceedings instituted against three police
officers upon accusations of ill-treatment raised by the applicant's
husband, which the applicant's husband joined as a private party
claiming compensation."
0,20,The Commission notes that the applicant's conviction involved his writings.
0,20,"In the present case that the Commission finds that the first
applicant has not shown that complaints 1(a) to (g), (i) to (n) and (p)
were raised at least in substance before the domestic courts."
0,20,"The Commission's task is to
ascertain whether the proceedings in their entirety were fair"
0,20,"  The Commission notes that the proceedings instituted against the
applicant have not yet been terminated. "
0,20,"However, again, the Commission finds no evidence in the case to substantiate this complaint."
0,20," The
Commission, taking into account the applicant's position in these
proceedings and the impact of their outcome on her own financial
situation,"
0,20," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation."
0,20,"In this
respect, they refer to the numerous other matters related to the
proceedings at issue, and the proceedings before the Vienna Juvenile
Court."
0,20," In the present case, the applicant did not bring private
prosecution proceedings against the police officers concerned for
insult, or, assuming that the alleged acts had to be prosecuted ex
officio, lay any criminal charges against the police officers
requesting their prosecution."
0,20,"They submit in particular
that the applicant did not bring private prosecution proceedings
against the police officers concerned for insult within the meaning of
S. 115 of the Penal Code."
0,20," In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation."
0,20,"The case-law of the Commission establishes that where no domestic
remedy is available, the six months period runs from the act complained
of"
0,20,The Commission finds that no elements of arbitrariness are disclosed in the present case.
0,20,This view was reached by both the Board of Film Classification and the Video Appeals Committee following a careful consideration of the arguments in defence of his work presented by the applicant in the course of two sets of proceedings.
0,20,"In these circumstances, the Commission did not find it necessary to examine whether the detention was ""lawful"" under domestic law."
0,20,"The complaint made before the Commission must also have been raised, at least in substance, during the proceedings in question."
0,20, The Commission notes the applicant's declaration that he had told the public prosecutor that he had been tortured. 
0,20,"The Commission finds no appearance
of such a violation."
0,20,"The Commission finds that they have insufficient
means to pay for legal representation themselves."
0,20,In the circumstances the Commission finds that no appearance of a violation of Article 1 of Protocol No. 1 (P1-1) has been disclosed in the present case.
0,20,"Consequently, the Commission finds that the remedy cannot realistically
have been available to the applicants in this case."
0,20," In the above circumstances the Commission finds that it has not
been shown that domestic remedies have been exhausted."
