,arg_id,argument,topic,stance,sents,sents_with_scores
0,arg_0_0,`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide should be a criminal offence,-1,"['`people reach their limit when it comes to their quality of life and should be able to end their suffering.', 'this can be done with little or no suffering by assistance and the person is able to say good bye.']","[('`people reach their limit when it comes to their quality of life and should be able to end their suffering.', 0.7988344430923462), ('this can be done with little or no suffering by assistance and the person is able to say good bye.', 0.7811647057533264)]"
1,arg_0_1,"A patient should be able to decide when they have had enough ""care"".",Assisted suicide should be a criminal offence,-1,"['A patient should be able to decide when they have had enough ""care"".']","[('A patient should be able to decide when they have had enough ""care"".', 0.7814107537269592)]"
2,arg_0_2,"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",Assisted suicide should be a criminal offence,-1,"['a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.']","[('a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.', 0.9125474691390991)]"
3,arg_0_3,a person should have the dignity to choose how they die,Assisted suicide should be a criminal offence,-1,['a person should have the dignity to choose how they die'],"[('a person should have the dignity to choose how they die', 0.8990634679794312)]"
4,arg_0_4,a person should have the right to be able to choose if they want to live or die,Assisted suicide should be a criminal offence,-1,['a person should have the right to be able to choose if they want to live or die'],"[('a person should have the right to be able to choose if they want to live or die', 0.8687478303909302)]"
5,arg_0_5,a person should have the right to die on their own terms,Assisted suicide should be a criminal offence,-1,['a person should have the right to die on their own terms'],"[('a person should have the right to die on their own terms', 0.8838836550712585)]"
6,arg_0_6,"a person should not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide should be a criminal offence,-1,"['a person should not be forced into having to live their lives suffering, when death is already enevitable']","[('a person should not be forced into having to live their lives suffering, when death is already enevitable', 0.8213921189308167)]"
7,arg_0_7,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,Assisted suicide should be a criminal offence,-1,['assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured'],"[('assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured', 0.8558585047721863)]"
8,arg_0_8,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,Assisted suicide should be a criminal offence,-1,['assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.'],"[('assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.', 0.9132642149925232)]"
9,arg_0_9,assisted suicide allows people who have terrible health conditions to die with dignity. if assisted suicide is a crime they may have to endure many more years living in agony.,Assisted suicide should be a criminal offence,-1,"['assisted suicide allows people who have terrible health conditions to die with dignity.', 'if assisted suicide is a crime they may have to endure many more years living in agony.']","[('assisted suicide allows people who have terrible health conditions to die with dignity.', 0.9509027004241943), ('if assisted suicide is a crime they may have to endure many more years living in agony.', 0.7747416496276855)]"
10,arg_0_10,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,Assisted suicide should be a criminal offence,-1,['assisted suicide allows terminally ill people to die with dignity and should not be criminalized'],"[('assisted suicide allows terminally ill people to die with dignity and should not be criminalized', 0.9551115036010742)]"
11,arg_0_11,assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention.,Assisted suicide should be a criminal offence,-1,['assisted suicide allows terminally ill persons to choose when to die and do it with dignity.'],"[('assisted suicide allows terminally ill persons to choose when to die and do it with dignity.', 0.943515419960022)]"
12,arg_0_12,Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere. It is a human right to choose not to suffer with a terminal illness.,Assisted suicide should be a criminal offence,-1,['Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere.'],"[('Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere.', 0.9125699996948242)]"
13,arg_0_13,assisted suicide gives people control over their life in terrible circumstances. it allows them dignity in death rather than living in terrible conditions for many years.,Assisted suicide should be a criminal offence,-1,['assisted suicide gives people control over their life in terrible circumstances.'],"[('assisted suicide gives people control over their life in terrible circumstances.', 0.9250447750091553)]"
14,arg_0_14,assisted suicide helps terminally ill people end their suffering,Assisted suicide should be a criminal offence,-1,['assisted suicide helps terminally ill people end their suffering'],"[('assisted suicide helps terminally ill people end their suffering', 0.8850398063659668)]"
15,arg_0_15,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,Assisted suicide should be a criminal offence,-1,['Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.'],"[('Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.', 0.8976519107818604)]"
